"Reference","DOI","DOI_PANGAEA","Included/Not included","Reason for non inclusion","Country/Region","Year"
"Briddon, C. L., Nicoară, M., Hegedüs, A., Niculea, A., Bellerby, R., Eikrem, W. et al., 2023. Acclimation to various temperature and pCO2 levels does not impact the competitive ability of two strains of Skeletonema marinoi in natural communities. Frontiers in Marine Science 10:1197570","doi:10.3389/fmars.2023.1197570","","Not included","< 2 carbonate chemistry parameters","EU-Romania","2023"
"Buitenhuis, E. T., de Baar, H. J. W., & Veldhuis, M. J. W., 1999. Photosynthesis and calcification by Emiliania huxleyi (Prymnesiophyceae) as a function of inorganic carbon species. Journal of Phycology 35:949-959","doi:10.1046/j.1529-8817.1999.3550949.x","","Not included","< 2 carbonate chemistry parameters","EU-The Netherlands","1999"
"Bunse, C., Lundin, D., Karlsson, C. M. G., Vila-Costa, M., Palovaara, J., Akram, N. et al., 2016. Response of marine bacterioplankton pH homeostasis gene expression to elevated CO2. Nature Climate Change 6:483-487","doi:10.1038/nclimate2914","","Not included","< 2 carbonate chemistry parameters","EU-Sweden","2016"
"Burrell, T. J., Maas, E. W., Hulston, D. A., & Law, C. S., 2015. Bacterial abundance, processes and diversity responses to acidification at a coastal CO2 vent. Microbiology Letters 362:fnv154","doi:10.1093/femsle/fnv154","","Not included","< 2 carbonate chemistry parameters","New Zealand","2015"
"Burrell, T. J., Maas, E. W., Hulston, D. A., & Law, C. S., 2017. Variable response to warming and ocean acidification by bacterial processes in different plankton communities. Aquatic Microbial Ecology 79:49-62","doi:10.3354/ame01819","","Not included","< 2 carbonate chemistry parameters","New Zealand","2017"
"Burrell, T. J., Maas, E. W., Teesdale-Spittle, P., & Law, C. S., 2016. Assessing approaches to determine the effect of ocean acidification on bacterial processes (update). Biogeosciences 13:4379-4388","doi:10.5194/bg-13-4379-2016","","Not included","< 2 carbonate chemistry parameters","New Zealand","2016"
"Calbet, A., Sazhin, A. F., Nejstgaard, J. C., Berger, S. A., Tait, Z. S., Olmos, L. et al., 2014. Future climate scenarios for a coastal productive planktonic food web resulting in microplankton phenology changes and decreased trophic transfer efficiency. PLoS ONE 9:e94388","doi:10.1371/journal.pone.0094388","","Not included","< 2 carbonate chemistry parameters","EU-Spain","2014"
"Calderón-Liévanos, S., Yolanda, H.-S. N., Emilio, L.-C. S., Pedro, C.-H., Felipe De Jesús, A.-V., & Teresa, S. M., 2019. Survival and respiration of green abalone (Haliotis fulgens) facing very short-term marine environmental extremes. Marine and Freshwater Behavior and Physiology 52","doi:10.1080/10236244.2019.1607734","","Not included","< 2 carbonate chemistry parameters","Mexico","2019"
"Caldwell, G. S., Fitzer, S., Gillespie, C. S., Pickavance, G., Turnbull, E., & Bentley, M. G., 2011. Ocean acidification takes sperm back in time. Invertebrate Reproduction & Development 55:217-221","doi:10.1080/07924259.2011.574842","","Not included","< 2 carbonate chemistry parameters","EU-UK","2011"
"Camacho, C., Maulvault, A. L., Santos, M. T., Barbosa, V., Fogaça, F. H. S., Pousão-Ferreira, P. et al., 2020. Mercury in juvenile Solea senegalensis: linking bioaccumulation, seafood safety, and neuro-oxidative responses under climate change-related stressors. Applied Sciences 10:1993","doi:10.3390/app10061993","","Not included","< 2 carbonate chemistry parameters","EU-Portugal","2020"
"Caprio, J., Shimohara, M., Marui, T., Harada, S., & Kiyohara, S., 2014. Marine teleost locates live prey through pH sensing. Science 344:1154-1156","doi:10.1126/science.1252697","","Not included","< 2 carbonate chemistry parameters","USA","2014"
"Cardoso, P. G., Grilo, T. F., Dionísio, G., Aurélio, M., Lopes, A. R., Pereira, R. et al., 2017. Short-term effects of increased temperature and lowered pH on a temperate grazer-seaweed interaction (Littorina obtusata/Ascophyllum nodosum). Estuarine, Coastal and Shelf Science 197:35-44","doi:10.1016/j.ecss.2017.08.007","","Not included","< 2 carbonate chemistry parameters","EU-Portugal","2017"
"Carey, S., Nomikou, P., Croff Bell, K., Lilley, M., Lupton, J., Roman, C. et al., 2013. CO2 degassing from hydrothermal vents at Kolumbo submarine volcano, Greece, and the accumulation of acidic crater water. Geology 41:1035-1038","doi:10.1130/G34286.1","","Not included","< 2 carbonate chemistry parameters","USA","2013"
"Carreira, C., Heldal, M., & Bratbak, G., 2013. Effect of increased pCO2 on phytoplankton–virus interactions. Biogeochemistry 114:391-397","doi:10.1007/s10533-011-9692-x","","Not included","< 2 carbonate chemistry parameters","EU-The Netherlands","2013"
"Carroll, S. L., & Coyne, V. E., 2021. A proteomic analysis of the effect of ocean acidification on the haemocyte proteome of the South African abalone Haliotis midae. Fish & Shellfish Immunology 117:274-290","doi:10.1016/j.fsi.2021.08.008","","Not included","< 2 carbonate chemistry parameters","South Africa","2021"
"Chan, B. K., Wang, T. W., Chen, P. C., Lin, C. W., Chan, T. Y., & Tsang, L. M., 2016. Community structure of macrobiota and environmental parameters in shallow water hydrothermal vents off Kueishan Island, Taiwan. PLoS ONE 11:e0148675","doi:10.1371/journal.pone.0148675","","Not included","< 2 carbonate chemistry parameters","China, Taiwan","2016"
"Chapman, R. W., Mancia, A., Beal, M., Veloso, A., Rathburn, C., Blair, A. et al., 2011. The transcriptomic responses of the eastern oyster, Crassostrea virginica, to environmental conditions. Molecular Ecology 20:1431-1449","doi:10.1111/j.1365-294X.2011.05018.x","","Not included","< 2 carbonate chemistry parameters","USA","2011"
"Chen, B., & Zou, D., 2014. Growth and photosynthetic activity of (Fucales, Phaeophyta) seedlings in responses to different light intensities, temperatures and CO levels under laboratory conditions. Marine Biology Research 10:1019-1026","doi:10.1080/17451000.2013.872798","","Not included","< 2 carbonate chemistry parameters","China","2014"
"Chen, B., Zou, D., & Zhu, M., 2017. Growth and photosynthetic responses of Ulva lactuca (Ulvales, Chlorophyta) germlings to different pH levels. Marine Biology Research 13:351-357","doi:10.1080/17451000.2016.1267367","","Not included","< 2 carbonate chemistry parameters","China","2017"
"Chen, T., Li, S., & Yu, K., 2013. Macrobioerosion in Porites corals in subtropical northern South China Sea: a limiting factor for high-latitude reef framework development. Coral Reefs 31:101-108","doi:10.1007/s00338-012-0946-4","","Not included","< 2 carbonate chemistry parameters","China","2013"
"Chew, L. L., & Chong, V. C., 2016. Response of marine copepods to a changing tropical environment: winners, losers and implications. PeerJ 4:e2052","doi:10.7717/peerj.2052","","Not included","< 2 carbonate chemistry parameters","Malaysia","2016"
"Cho, B., Bae, H., & Kim, T., 2022. The symbiotic relationship between the Antarctic limpet, Nacella concinna, and epibiont coralline algae. Journal of Marine Science and Engineering 10:496","doi:10.3390/jmse10040496","","Not included","< 2 carbonate chemistry parameters","Republic of Korea","2022"
"Ciapa, B., & Philippe, L., 2013. Intracellular and extracellular pH and Ca are bound to control mitosis in the early sea urchin embryo via ERK and MPF activities. PLoS ONE 8:e66113","doi:10.1371/journal.pone.0066113","","Not included","< 2 carbonate chemistry parameters","EU-France","2013"
"Clark, D., Lamare, M., & Barker, M., 2009. Response of sea urchin pluteus larvae (Echinodermata: Echinoidea) to reduced seawater pH: a comparison among a tropical, temperate, and a polar species. Marine Biology 156:1432-1793","doi:10.1007/s00227-009-1155-8","","Not included","< 2 carbonate chemistry parameters","New Zealand","2009"
"Clark, M. S., Thorne, M. A. S., Amaral, A., Vieira, F., Batista, F. M., Reis, J. et al., 2013. Identification of molecular and physiological responses to chronic environmental challenge in an invasive species: the Pacific oyster, Crassostrea gigas. Ecology and Evolution 3:3283-3297","doi:10.1002/ece3.719","","Not included","< 2 carbonate chemistry parameters","EU-UK","2013"
"Clark, T. D., Roche, D. G., Binning, S. A., Speers-Roesch, B., & Sundin, J., 2017. Maximum thermal limits of coral reef damselfishes are size dependent and resilient to near-future ocean acidification. Journal of Experimental Biology 220:3519-3526","doi:10.1242/jeb.162529","","Not included","< 2 carbonate chemistry parameters","Australia","2017"
"Clements, J. C., & Hunt, H. L., 2018. Testing for sediment acidification effects on within-season variability in juvenile soft-shell clam (Mya arenaria) abundance on the Northern shore of the Bay of Fundy. Estuaries and Coasts 41:471-483","doi:10.1007/s12237-017-0270-x","","Not included","< 2 carbonate chemistry parameters","Canada","2018"
"Clements, J. C., Woodard, K. D., & Hunt, H. L., 2016. Porewater acidification alters the burrowing behavior and post-settlement dispersal of juvenile soft-shell clams (Mya arenaria). Journal of Experimental Marine Biology and Ecology 477:103-111","doi:10.1016/j.jembe.2016.01.013","","Not included","< 2 carbonate chemistry parameters","Canada","2016"
"Coelho, F. J., Cleary, D. F., Costa, R., Ferreira, M., Polónia, A. R., Silva, A. M. et al., 2016. Multi-taxon activity profiling reveals differential microbial response to reduced seawater pH and oil pollution. Molecular Ecology 25:4645-4659","doi:10.1111/mec.13779","","Not included","< 2 carbonate chemistry parameters","EU-Portugal","2016"
"Coelho, F. J. R. C., Cleary, D. F. R., Rocha, R. J. M., Calado, R., Castanheira, J. M., Rocha, S. M. et al., 2015. Unraveling the interactive effects of climate change and oil contamination on laboratory-simulated estuarine benthic communities. Global Change Biology 21:1871-1886","doi:10.1111/gcb.12801","","Not included","< 2 carbonate chemistry parameters","EU-Portugal","2015"
